2025-05-10 08:12:03;INFO;alice;login
2025-05-10 08:12:10;ERROR;bob;upload
2025-05-10 08:13:01;WARNING;alice;download
2025-05-10 08:13:45;INFO;carol;login
2025-05-10 08:14:12;INFO;bob;download
2025-05-10 08:15:00;ERROR;carol;upload
2025-05-10 08:15:30;WARNING;bob;upload
2025-05-10 08:16:05;INFO;alice;logout
2025-05-10 08:16:40;WARNING;carol;download
2025-05-10 08:17:22;ERROR;alice;delete
2025-05-10 08:18:01;INFO;bob;login
2025-05-10 08:18:50;WARNING;alice;upload
2025-05-10 08:19:15;INFO;carol;logout
2025-05-10 08:20:00;WARNING;bob;download
2025-05-10 08:20:45;INFO;alice;download
